"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "cat" "gp"
"38" 1 37 370 52.3835985265041 26.8307058569587 -14.5381412227312 21.8280158967192 1 "Sti"
"39" 1 38 379.6 107.874328658144 38.4015321358531 -96.7102195689349 96.7102195689349 1 "Sti"
"40" 1 39 390.5 221.326985872832 39.5484060062812 -106.396310725264 106.396310725264 1 "Sti"
"41" 1 40 400.555555555556 329.331297092139 48.0310605702204 -92.0510310651866 92.0510310651866 1 "Sti"
"42" 1 41 409.5 382.518359273115 40.5766782573008 1.64117331845648 5.7208959703546 1 "Sti"
"43" 1 42 420.444444444444 345.811451984583 38.7532333388446 20.3659939768516 20.3659939768516 1 "Sti"
"44" 1 43 430 340.843703646101 37.9564035467618 4.0878767670884 4.91782014816278 1 "Sti"
"102" 2 37 370.375 135.741178514932 197.040911493525 -58.574662212141 58.574662212141 1 "Sti"
"103" 2 38 379.7 180.330724002495 204.114859957372 -59.2056211797253 59.2056211797253 1 "Sti"
"104" 2 39 390.375 241.257474597692 214.490749424957 -49.9549392151849 49.9549392151849 1 "Sti"
"105" 2 40 400 288.818883149175 222.08769191485 -47.8083724579076 47.8083724579076 1 "Sti"
"106" 2 41 410 328.340050610381 209.858020792324 -41.7660900109931 41.7660900109931 1 "Sti"
"107" 2 42 420 376.40311833129 199.419111378978 -29.7153926762145 30.2472743892067 1 "Sti"
"108" 2 43 430 382.010955467464 195.238457235376 0.379080170716463 0.577726335855971 1 "Sti"
"166" 3 37 370 64.2993461176395 349.765496367976 6.37176422044097 6.52706235873582 1 "Sti"
"167" 3 38 380 69.0051978590943 346.50429400706 -20.9254758464932 21.0171228258239 1 "Sti"
"168" 3 39 390 105.158449288998 351.269385505617 -31.3804455790606 31.3804455790606 1 "Sti"
"169" 3 40 400 136.035315685667 347.424061279031 -55.9471969001702 55.9471969001702 1 "Sti"
"170" 3 41 410 189.998790853564 349.447600883035 -12.667657287003 22.2069847394559 1 "Sti"
"171" 3 42 420 176.090540156302 351.081228386529 14.3864078287662 14.3864078287662 1 "Sti"
"172" 3 43 430 169.139595196525 345.715054359024 -1.18415795765716 3.92109428640688 1 "Sti"
"230" 4 37 370 33.4353933569972 417.767985668203 -24.9464536826513 24.9464536826513 1 "Sti"
"231" 4 38 380 63.2282367854014 405.44529502536 -45.349196332413 45.349196332413 1 "Sti"
"232" 4 39 390 128.103372745103 415.044124579558 -71.6721481953747 71.6721481953747 1 "Sti"
"233" 4 40 400 196.241077998904 416.653671409931 -51.1817059669426 51.1817059669426 1 "Sti"
"234" 4 41 410 226.830348535028 418.670685072768 -27.1094448269379 27.1094448269379 1 "Sti"
"235" 4 42 420 259.694490820377 415.115534076862 -42.6272951751496 42.6272951751496 1 "Sti"
"236" 4 43 430 303.698685224385 412.608367680073 -38.2713166099031 38.2713166099031 1 "Sti"
"294" 5 37 370 126.671321887039 589.896517866524 -54.2063265085948 54.2063265085948 1 "Sti"
"295" 5 38 380 225.414656256387 564.355671527382 -112.272554558767 112.272554558767 1 "Sti"
"296" 5 39 390 309.040514557765 533.884407012582 -52.5110879917416 52.5110879917416 1 "Sti"
"297" 5 40 400 359.496680762164 539.756904857759 -52.1839196613011 52.1839196613011 1 "Sti"
"298" 5 41 410 390.188840203003 553.197695424344 -5.10584340079788 8.53451503038423 1 "Sti"
"299" 5 42 420 386.509888319946 559.502058759892 1.07711741441972 3.91277134437848 1 "Sti"
"300" 5 43 430 388.212087925699 571.845423865103 3.66122222682031 5.57013172605082 1 "Sti"
"358" 6 37 370 32.2124831834892 645.077915386609 -0.194473646405207 0.791923650222252 1 "Sti"
"359" 6 38 380 31.691111181298 646.831026387684 0.326471434793476 0.658515067122863 1 "Sti"
"360" 6 39 390 37.249447096756 645.492496288227 -22.726343475598 22.726343475598 1 "Sti"
"361" 6 40 400 79.1301103405038 644.28273712742 -49.4079753678724 49.4079753678724 1 "Sti"
"362" 6 41 410 124.441519459115 643.711389208936 -35.1115129389566 35.1115129389566 1 "Sti"
"363" 6 42 420 145.517807177224 649.270041825907 -7.05392006537861 7.58206517908226 1 "Sti"
"364" 6 43 430 143.971502096386 652.754472624553 4.09298088590123 4.09298088590123 1 "Sti"
"422" 7 37 370 360.5954051944 833.228270640471 -6.988222604339 9.77655571433257 1 "Sti"
"423" 7 38 380 350.793332924742 815.613563031615 17.9618794671881 17.9618794671881 1 "Sti"
"424" 7 39 390 336.14404827363 784.257055945453 5.26643543657474 6.61142770806441 1 "Sti"
"425" 7 40 400 336.969051077963 787.966449738218 2.030678370391 4.73851342499051 1 "Sti"
"426" 7 41 410 330.777629947426 787.547364286712 4.93872264852592 4.93872264852592 1 "Sti"
"427" 7 42 420 328.734051614127 775.256186973175 -1.6384413727838 2.4687721923346 1 "Sti"
"428" 7 43 430 333.242651188982 767.545017231577 -5.31553763658229 5.31553763658229 1 "Sti"
"486" 8 37 370 296.49602808431 953.001359666368 -40.3219150956187 40.3219150956187 1 "Sti"
"487" 8 38 380 325.939957092316 956.278480649097 -23.2711479251951 23.2711479251951 1 "Sti"
"488" 8 39 390 365.183257408793 952.720054933654 -43.8109674334114 43.8109674334114 1 "Sti"
"489" 8 40 400 389.539617477168 948.023311618473 -6.82376863713858 7.73851354926575 1 "Sti"
"490" 8 41 410 390.798620132788 928.869603743224 0.34183995329829 1.66653531908833 1 "Sti"
"491" 8 42 420 389.488702109223 922.359985452818 0.0424436428600643 1.86907712791759 1 "Sti"
"492" 8 43 430 391.161275452519 902.235562581046 1.08522731544787 3.00730782866509 1 "Sti"
"548" 9 37 370 27.883314462572 1024.70704183383 -9.92590054391091 9.92590054391091 1 "Sti"
"549" 9 38 379.5 36.3596808194518 1022.52346751904 -3.27789394780849 3.27789394780849 1 "Sti"
"550" 9 41 410.833333333333 37.3876963054962 1024.82249948086 2.20738463041653 2.28999977732387 1 "Sti"
"551" 9 42 420 31.087215047123 1069.95467701966 7.48960241810904 7.48960241810904 1 "Sti"
"552" 9 43 430 24.2696365730351 1072.44409596374 10.7368470885736 11.1286728173442 1 "Sti"
"610" 10 37 370 308.864043328539 1133.87569453869 2.32342026594341 9.80644094992891 1 "Sti"
"611" 10 38 380 321.025243466405 1141.4038251874 -16.4989271827457 16.4989271827457 1 "Sti"
"612" 10 39 390 336.439548207707 1146.11655297074 -13.6487878794635 13.6487878794635 1 "Sti"
"613" 10 40 400 351.322460066318 1146.84799562247 -16.2637040154009 16.2637040154009 1 "Sti"
"614" 10 41 410 365.008953672444 1146.27852500491 -7.93647227029055 7.93647227029055 1 "Sti"
"615" 10 42 420 372.658395527375 1150.10513798451 -13.85954477225 13.85954477225 1 "Sti"
"616" 10 43 430 385.1948174237 1158.44142251326 -7.23605440948967 7.23605440948967 1 "Sti"
